#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	refseq_category	taxid	organism_name	ftp_path
GCF_001735525.1	representative genome	23	Shewanella colwelliana	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/735/525/GCF_001735525.1_ASM173552v1
GCF_025402875.1	representative genome	24	Shewanella putrefaciens	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/402/875/GCF_025402875.1_ASM2540287v1
GCF_007197645.1	representative genome	25	Shewanella hanedai	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/197/645/GCF_007197645.1_ASM719764v1
GCF_900111765.1	representative genome	33	Myxococcus fulvus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/111/765/GCF_900111765.1_IMG-taxon_2693429886_annotated_assembly
GCF_900109545.1	representative genome	41	Stigmatella aurantiaca	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/109/545/GCF_900109545.1_IMG-taxon_2693429895_annotated_assembly
GCF_001027285.1	representative genome	48	Archangium gephyra	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/027/285/GCF_001027285.1_ASM102728v1
GCF_001189295.1	representative genome	52	Chondromyces crocatus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/189/295/GCF_001189295.1_ASM118929v1
GCF_002343915.1	representative genome	54	Nannocystis exedens	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/343/915/GCF_002343915.1_ASM234391v1
GCF_022870945.1	representative genome	61	Vitreoscilla stercoraria	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/870/945/GCF_022870945.1_ASM2287094v1
GCF_002222655.1	representative genome	63	Vitreoscilla filiformis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/222/655/GCF_002222655.1_ASM222265v1
GCF_002355975.1	representative genome	69	Lysobacter enzymogenes	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/355/975/GCF_002355975.1_ASM235597v1
GCF_013626205.1	representative genome	84	Hyphomicrobium methylovorum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/626/205/GCF_013626205.1_ASM1362620v1
GCF_003751345.1	representative genome	94	Stella humosa	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/751/345/GCF_003751345.1_ASM375134v1
GCF_004339465.1	representative genome	100	Ancylobacter aquaticus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/339/465/GCF_004339465.1_ASM433946v1
GCF_002954665.1	representative genome	102	Polaribacter glomeratus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/954/665/GCF_002954665.1_ASM295466v1
GCF_007747015.1	representative genome	122	Gimesia maris	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/747/015/GCF_007747015.1_ASM774701v1
GCF_009685195.1	representative genome	134	Methylocystis parvus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/685/195/GCF_009685195.1_ASM968519v1
GCF_020422925.2	representative genome	140	Borrelia hermsii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/422/925/GCF_020422925.2_ASM2042292v2
GCF_023035295.1	representative genome	144	Borrelia coriaceae	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/035/295/GCF_023035295.1_ASM2303529v1
GCF_014207565.1	representative genome	150	Spirochaeta isovalerica	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/207/565/GCF_014207565.1_ASM1420756v1
GCF_021021555.1	representative genome	156	Treponema zuelzerae	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/021/555/GCF_021021555.1_ASM2102155v1
GCF_017751225.1	representative genome	159	Brachyspira hyodysenteriae	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/751/225/GCF_017751225.1_ASM1775122v1
GCF_008153345.1	representative genome	162	Treponema phagedenis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/153/345/GCF_008153345.1_ASM815334v1
GCF_900113965.1	representative genome	163	Treponema bryantii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/113/965/GCF_900113965.1_IMG-taxon_2606217736_annotated_assembly
GCF_900497595.1	representative genome	164	Treponema pectinovorum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/497/595/GCF_900497595.1_PRJEB27760
GCF_007827425.1	representative genome	192	Azospirillum brasilense	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/827/425/GCF_007827425.1_ASM782742v1
GCF_008364955.1	representative genome	193	Azospirillum lipoferum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/364/955/GCF_008364955.1_ASM836495v1
GCF_009730395.1	representative genome	195	Campylobacter coli	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/730/395/GCF_009730395.1_ASM973039v1
GCF_011600945.2	representative genome	196	Campylobacter fetus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/600/945/GCF_011600945.2_ASM1160094v2
GCF_001298465.1	representative genome	199	Campylobacter concisus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/298/465/GCF_001298465.1_ASM129846v1
GCF_013372125.1	representative genome	200	Campylobacter curvus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/372/125/GCF_013372125.1_ASM1337212v1
GCF_013372205.1	representative genome	202	Campylobacter mucosalis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/372/205/GCF_013372205.1_ASM1337220v1
GCF_004803795.1	representative genome	203	Campylobacter rectus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/803/795/GCF_004803795.1_ASM480379v1
GCF_004803815.1	representative genome	204	Campylobacter showae	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/803/815/GCF_004803815.1_ASM480381v1
GCF_017821535.1	representative genome	210	Helicobacter pylori	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/821/535/GCF_017821535.1_ASM1782153v1
GCF_900451005.1	representative genome	215	Helicobacter fennelliae	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/451/005/GCF_900451005.1_59123_A01
GCF_900450885.1	representative genome	216	Helicobacter muridarum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/450/885/GCF_900450885.1_54984_G01
GCF_900476215.1	representative genome	217	Helicobacter mustelae	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/476/215/GCF_900476215.1_51342_F02
GCF_004328865.1	representative genome	227	Pseudoalteromonas carrageenovora	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/328/865/GCF_004328865.1_ASM432886v1
GCF_002022145.1	representative genome	238	Elizabethkingia meningoseptica	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/022/145/GCF_002022145.1_ASM202214v1
GCF_900176575.1	representative genome	244	Planomicrobium okeanokoites	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/176/575/GCF_900176575.1_PRJEB20355
GCF_003815995.1	representative genome	246	Chryseobacterium balustinum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/995/GCF_003815995.1_ASM381599v1
GCF_004328965.1	representative genome	250	Chryseobacterium gleum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/328/965/GCF_004328965.1_ASM432896v1
GCF_006540005.1	representative genome	252	Halomonas halmophila	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/540/005/GCF_006540005.1_ASM654000v1
GCF_900460995.1	representative genome	253	Chryseobacterium indologenes	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/460/995/GCF_900460995.1_42552_F01
GCF_003815915.1	representative genome	254	Chryseobacterium indoltheticum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/915/GCF_003815915.1_ASM381591v1
GCF_900453865.1	representative genome	256	Myroides odoratus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/453/865/GCF_900453865.1_50279_H02
GCF_016725645.1	representative genome	258	Sphingobacterium spiritivorum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/725/645/GCF_016725645.1_ASM1672564v1
GCF_901482695.1	representative genome	259	Sphingobacterium thalpophilum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/901/482/695/GCF_901482695.1_45076_G02
GCF_000771745.2	representative genome	276	Thermus filiformis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/771/745/GCF_000771745.2_THFILIv2
GCF_005871085.1	representative genome	280	Xanthobacter autotrophicus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/871/085/GCF_005871085.1_ASM587108v1
GCF_017875275.1	representative genome	281	Xanthobacter flavus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/875/275/GCF_017875275.1_ASM1787527v1
GCF_016599875.1	representative genome	285	Comamonas testosteroni	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/599/875/GCF_016599875.1_ASM1659987v1
GCF_009586235.1	representative genome	292	Burkholderia cepacia	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/586/235/GCF_009586235.1_ASM958623v1
GCF_900445995.1	representative genome	293	Brevundimonas diminuta	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/445/995/GCF_900445995.1_48290_B02
GCF_900215245.1	representative genome	294	Pseudomonas fluorescens	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/215/245/GCF_900215245.1_IMG-taxon_2617270901_annotated_assembly
GCF_015476275.1	representative genome	296	Pseudomonas fragi	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/476/275/GCF_015476275.1_ASM1547627v1
